S.no1,tweet_id,created_at,screen_name,name,user_description,followers_count,text,location,coordinates,geo,iso_language_code,retweet_count,favorite_count,user_created_at,entities,verified,tweet_source,in_reply_to_status_id_str,in_reply_to_user_id_str
11,1.31164E+18,10/1/2020 12:28,DhavalKhatriDK,Dhaval Khatri DK,"| #Indian | #Journalist | Currently working with @PIBAhmedabad | Ex- @sandeshnews, @Vtvgujarati, @Tv9Gujarati | Tweets = Personal views , Rts ≠ Endorsement",166,"RT @PIBAhmedabad: #IndiaFightsCorona:

📍#COVID19 Labs in India (As on September 20, 2020)👇

@ICMRDELHI

#StaySafe #IndiaWillWin https://t.c…",India,,,en,3,0,Sun Nov 04 06:26:08 +0000 2012,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [18, 36]}, {'text': 'COVID19', 'indices': [40, 48]}, {'text': 'StaySafe', 'indices': [104, 113]}, {'text': 'IndiaWillWin', 'indices': [114, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PIBAhmedabad', 'name': 'PIB in Gujarat', 'id': 902084078882611200, 'id_str': '902084078882611200', 'indices': [3, 16]}, {'screen_name': 'ICMRDELHI', 'name': 'ICMR', 'id': 2695241174, 'id_str': '2695241174', 'indices': [92, 102]}], 'urls': []}",FALSE,Twitter Web App,,
12,1.31164E+18,10/1/2020 12:28,RecipeGrow,The Recipe To Grow,Social Feed for Businesses to Foster Digital Growth. #AI #IoT #Tech,5845,RT @mygovindia: Here are the guidelines for the gathering of people in #Unlock5. #IndiaFightsCorona https://t.co/6dYBHBGLRE,"Boca Raton, FL",,,en,4,0,Tue Aug 14 11:30:52 +0000 2018,"{'hashtags': [{'text': 'Unlock5', 'indices': [71, 79]}, {'text': 'IndiaFightsCorona', 'indices': [81, 99]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1311643301569650689, 'id_str': '1311643301569650689', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EjPkoiYUYAEPi9J.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjPkoiYUYAEPi9J.jpg', 'url': 'https://t.co/6dYBHBGLRE', 'display_url': 'pic.twitter.com/6dYBHBGLRE', 'expanded_url': 'https://twitter.com/mygovindia/status/1311643633221656577/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1037, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1250, 'resize': 'fit'}}, 'source_status_id': 1311643633221656577, 'source_status_id_str': '1311643633221656577', 'source_user_id': 2686834802, 'source_user_id_str': '2686834802'}]}",FALSE,Twitter Web App,,
13,1.31164E+18,10/1/2020 12:28,AnilP18101729,ANIL PARLI ( Anil P ),"https://t.co/lhRnAu0muT
https://t.co/DCJv49sOvS",189,RT @mygovindia: Here are the guidelines for the gathering of people in #Unlock5. #IndiaFightsCorona https://t.co/6dYBHBGLRE,680581,,,en,4,0,Sat Sep 15 05:08:28 +0000 2018,"{'hashtags': [{'text': 'Unlock5', 'indices': [71, 79]}, {'text': 'IndiaFightsCorona', 'indices': [81, 99]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1311643301569650689, 'id_str': '1311643301569650689', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EjPkoiYUYAEPi9J.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjPkoiYUYAEPi9J.jpg', 'url': 'https://t.co/6dYBHBGLRE', 'display_url': 'pic.twitter.com/6dYBHBGLRE', 'expanded_url': 'https://twitter.com/mygovindia/status/1311643633221656577/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1037, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1250, 'resize': 'fit'}}, 'source_status_id': 1311643633221656577, 'source_status_id_str': '1311643633221656577', 'source_user_id': 2686834802, 'source_user_id_str': '2686834802'}]}",FALSE,Twitter for Android,,
14,1.31164E+18,10/1/2020 12:28,PIBHyderabad,PIB in Telangana 🇮🇳,"Official Twitter account of Press Information Bureau, Government of India, Hyderabad, Telangana State.",8954,"RT @mygovindia: Guidelines for Re-opening of Schools, Colleges and Educational Institutions after 15th October. #Unlock5 #IndiaFightsCorona…",Hyderabad,,,en,15,0,Tue Feb 04 06:35:04 +0000 2014,"{'hashtags': [{'text': 'Unlock5', 'indices': [112, 120]}, {'text': 'IndiaFightsCorona', 'indices': [121, 139]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': []}",TRUE,Twitter for Android,,
15,1.31164E+18,10/1/2020 12:28,Harsh1986Singh,HARSH SINGH,"Radiologist, Interested in Interventional Radiology, Cardiac Imaging and MSK radiology",608,RT @mygovindia: Activities to Re-open in #Unlock5 outside Containment Zones after 15 October. #IndiaFightsCorona https://t.co/dbU1ovECdV,India,,,en,15,0,Fri Jan 19 16:23:00 +0000 2018,"{'hashtags': [{'text': 'Unlock5', 'indices': [41, 49]}, {'text': 'IndiaFightsCorona', 'indices': [94, 112]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1311636297329471488, 'id_str': '1311636297329471488', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EjPeQ1jU8AAHi06.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjPeQ1jU8AAHi06.jpg', 'url': 'https://t.co/dbU1ovECdV', 'display_url': 'pic.twitter.com/dbU1ovECdV', 'expanded_url': 'https://twitter.com/mygovindia/status/1311636491303481346/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1037, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1250, 'resize': 'fit'}}, 'source_status_id': 1311636491303481346, 'source_status_id_str': '1311636491303481346', 'source_user_id': 2686834802, 'source_user_id_str': '2686834802'}]}",FALSE,Twitter for Android,,
16,1.31164E+18,10/1/2020 12:28,DhavalKhatriDK,Dhaval Khatri DK,"| #Indian | #Journalist | Currently working with @PIBAhmedabad | Ex- @sandeshnews, @Vtvgujarati, @Tv9Gujarati | Tweets = Personal views , Rts ≠ Endorsement",166,"RT @PIBAhmedabad: #IndiaFightsCorona:

📍 Increasing gap between #COVID19 Recovered &amp; Active cases of India (May 04, 2020 to October 1, 2020…",India,,,en,1,0,Sun Nov 04 06:26:08 +0000 2012,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [18, 36]}, {'text': 'COVID19', 'indices': [64, 72]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PIBAhmedabad', 'name': 'PIB in Gujarat', 'id': 902084078882611200, 'id_str': '902084078882611200', 'indices': [3, 16]}], 'urls': []}",FALSE,Twitter Web App,,
17,1.31164E+18,10/1/2020 12:27,Tonia_Ishabiyi,Research lover,"PhD student @UKZN Centre for Rural Health #Communityengagement #Youthempowerment #religiousidentity
Alumni:@OAUniversity @CDSSIOSA2
paduatonia@yahoo.com",535,"RT @COVIDNewsByMIB: #IndiaFightsCorona: 

📍Caring for children during #COVID19. 

➡️Educate your child
➡️Provide them sensitive and caring…","Nigeria, South Africa",,,en,6,0,Fri Aug 02 11:49:21 +0000 2013,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'COVID19', 'indices': [70, 78]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for Android,,
18,1.31164E+18,10/1/2020 12:27,sumati_mohan,Sumati Mohan 🇮🇳,oMMMMMMMMM.......,171,"RT @SatsangTweets: 𝗦𝗲𝘃𝗮 𝗮𝘁 𝗔𝗻𝗶𝗸𝗲𝘁 𝗮𝗻𝗱 𝗠𝗮𝗻𝗮𝘃𝘆𝗮 𝗚𝗼𝗸𝘂𝗹 𝗦𝗰𝗵𝗼𝗼𝗹, 𝗣𝘂𝗻𝗲 - 𝗥𝗼𝘂𝗻𝗱 𝟱
Distribution of #rationkits &amp; we got to purchase diyas made by t…","Bengaluru, India",,,en,3,0,Sun Apr 04 11:15:10 +0000 2010,"{'hashtags': [{'text': 'rationkits', 'indices': [91, 102]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SatsangTweets', 'name': 'TheSatsangFoundationOfficial', 'id': 2961938442, 'id_str': '2961938442', 'indices': [3, 17]}], 'urls': []}",FALSE,Twitter Web App,,
19,1.31164E+18,10/1/2020 12:26,mygovindia,MyGovIndia,"Citizen engagement platform of Government of India, giving people the opportunity to work towards Surajya with their ideas & grass root level contribution.",2232354,Here are the guidelines for the gathering of people in #Unlock5. #IndiaFightsCorona https://t.co/6dYBHBGLRE,New Delhi,,,en,4,19,Mon Jul 28 06:57:18 +0000 2014,"{'hashtags': [{'text': 'Unlock5', 'indices': [55, 63]}, {'text': 'IndiaFightsCorona', 'indices': [65, 83]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311643301569650689, 'id_str': '1311643301569650689', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/media/EjPkoiYUYAEPi9J.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjPkoiYUYAEPi9J.jpg', 'url': 'https://t.co/6dYBHBGLRE', 'display_url': 'pic.twitter.com/6dYBHBGLRE', 'expanded_url': 'https://twitter.com/mygovindia/status/1311643633221656577/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1037, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1250, 'resize': 'fit'}}}]}",TRUE,Twitter Web App,,
20,1.31164E+18,10/1/2020 12:25,coolshalabh2010,shalabh seth,!! contest freaky !! cricket commentary in my own style  !!! big foodie !! YouTuber !!  Love travelling!! WWE Fan !! IPL Lover!! cricket Lover !!,991,"RT @mygovindia: Guidelines for Re-opening of Schools, Colleges and Educational Institutions after 15th October. #Unlock5 #IndiaFightsCorona…",,,,en,15,0,Wed Apr 06 09:11:37 +0000 2011,"{'hashtags': [{'text': 'Unlock5', 'indices': [112, 120]}, {'text': 'IndiaFightsCorona', 'indices': [121, 139]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': []}",FALSE,Twitter for Android,,
21,1.31164E+18,10/1/2020 12:25,ndmaindia,NDMA India | राष्ट्रीय आपदा प्रबंधन प्राधिकरण 🇮🇳,"राष्ट्रीय आपदा प्रबंधन प्राधिकरण, भारत सरकार 
National Disaster Management Authority, Govt of India",223690,"RT @mygovindia: Guidelines for Re-opening of Schools, Colleges and Educational Institutions after 15th October. #Unlock5 #IndiaFightsCorona…",New Delhi-110029,,,en,15,0,Tue Jul 08 05:49:19 +0000 2014,"{'hashtags': [{'text': 'Unlock5', 'indices': [112, 120]}, {'text': 'IndiaFightsCorona', 'indices': [121, 139]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': []}",TRUE,Twitter for iPhone,,
22,1.31164E+18,10/1/2020 12:24,AhluwaliaHitesh,University Admission Counselor 🇮🇳,"।। जय  श्री कृष्ण ।।

*श्रीकृष्ण गोविन्द हरे मुरारे,*

*हे नाथ नारायण वासुदेवाय!!!*

   Զเधे_Զเधे    Զเधे_Զเधे
     🌹जय श्री कृष्ण🌹",375,"RT @mygovindia: Guidelines for Re-opening of Schools, Colleges and Educational Institutions after 15th October. #Unlock5 #IndiaFightsCorona…","Chandigarh, India",,,en,15,0,Mon Dec 17 05:11:00 +0000 2012,"{'hashtags': [{'text': 'Unlock5', 'indices': [112, 120]}, {'text': 'IndiaFightsCorona', 'indices': [121, 139]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': []}",FALSE,Twitter for Android,,
23,1.31164E+18,10/1/2020 12:23,Harsh1986Singh,HARSH SINGH,"Radiologist, Interested in Interventional Radiology, Cardiac Imaging and MSK radiology",608,"RT @COVIDNewsByMIB: #IndiaFightsCorona: 

📍Caring for children during #COVID19. 

➡️Educate your child
➡️Provide them sensitive and caring…",India,,,en,6,0,Fri Jan 19 16:23:00 +0000 2018,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'COVID19', 'indices': [70, 78]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for Android,,
24,1.31164E+18,10/1/2020 12:22,odishaminority,Minority Morcha Odisha,Official Twitter Account,18,RT @mygovindia: Take a look to know how India has noticed a steady decline in Active Cases in the last two months. #IndiaFightsCorona @PMOI…,,,,en,16,0,Thu Jul 02 08:15:36 +0000 2020,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [115, 133]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': []}",FALSE,Twitter Web App,,
25,1.31164E+18,10/1/2020 12:21,dwivedirajat11,Rajat dwivedi,"|🇮🇳Indian🇮🇳|Student of Finance|Avid Reader|
 Interested in Stock markets, Public Finance, Politics, International relations and Defence",14,"RT @mygovindia: Guidelines for Re-opening of Schools, Colleges and Educational Institutions after 15th October. #Unlock5 #IndiaFightsCorona…","Bengaluru, India",,,en,15,0,Sun Aug 11 06:00:14 +0000 2013,"{'hashtags': [{'text': 'Unlock5', 'indices': [112, 120]}, {'text': 'IndiaFightsCorona', 'indices': [121, 139]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': []}",FALSE,Twitter Web App,,
26,1.31164E+18,10/1/2020 12:21,padmajMalik,Padmaj Malik,💐💐💐,59,"RT @COVIDNewsByMIB: #IndiaFightsCorona: 

📍Caring for children during #COVID19. 

➡️Educate your child
➡️Provide them sensitive and caring…","Orissa, India",,,en,6,0,Sun Mar 27 01:46:02 +0000 2016,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'COVID19', 'indices': [70, 78]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for Android,,
27,1.31164E+18,10/1/2020 12:19,nemityadav1,Nikku Yadav,Common looking people are the best in the world: that is the reason the Lord makes so many of them.,1249,"RT @MoHFW_INDIA: #IndiaFightsCorona

1,181 deaths  have been registered in the past 24 hours.

82% of these are from 10 States and UTs. htt…","Raipur , Chhattisgarh, India",,,en,13,0,Mon Sep 12 15:20:27 +0000 2011,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",FALSE,Twitter for Android,,
28,1.31164E+18,10/1/2020 12:19,nemityadav1,Nikku Yadav,Common looking people are the best in the world: that is the reason the Lord makes so many of them.,1249,"RT @MoHFW_INDIA: #IndiaFightsCorona

A total of  86,821 new confirmed cases have been reported in the last 24 hours.

76% of the new cases…","Raipur , Chhattisgarh, India",,,en,16,0,Mon Sep 12 15:20:27 +0000 2011,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",FALSE,Twitter for Android,,
29,1.31164E+18,10/1/2020 12:19,nemityadav1,Nikku Yadav,Common looking people are the best in the world: that is the reason the Lord makes so many of them.,1249,"RT @MoHFW_INDIA: #IndiaFightsCorona

India sustains trend of consistent low level of Active Cases.

For the 10th successive day, Active Cas…","Raipur , Chhattisgarh, India",,,en,20,0,Mon Sep 12 15:20:27 +0000 2011,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",FALSE,Twitter for Android,,
30,1.31164E+18,10/1/2020 12:19,nemityadav1,Nikku Yadav,Common looking people are the best in the world: that is the reason the Lord makes so many of them.,1249,"RT @MoHFW_INDIA: #IndiaFightsCorona

Be safe, wherever you go.  

#BadalkarApnaVyavaharKareinCoronaParVaar #TogetherAgainstCovid19 https://…","Raipur , Chhattisgarh, India",,,en,43,0,Mon Sep 12 15:20:27 +0000 2011,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}, {'text': 'BadalkarApnaVyavaharKareinCoronaParVaar', 'indices': [66, 106]}, {'text': 'TogetherAgainstCovid19', 'indices': [107, 130]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",FALSE,Twitter for Android,,
31,1.31164E+18,10/1/2020 12:19,champakChampion,Kumar Chandrashekhar Kashyap,"इस जिंदगी के आगे कितना सर झुकाऊँ मैं। 
खुशियों में रोऊँ या कि गम में मुस्कुराऊँ मैं।।
Poetry #Sanskrit

RT = 0Endorsement",386,"RT @kishanreddybjp: As #IndiaFightsCorona, it is imperative we stick to all #COVID19 related hygiene protocols and norms. 

For those who h…",Bengaluru,,,en,4,0,Mon Jan 11 08:14:51 +0000 2010,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [23, 41]}, {'text': 'COVID19', 'indices': [76, 84]}], 'symbols': [], 'user_mentions': [{'screen_name': 'kishanreddybjp', 'name': 'G Kishan Reddy', 'id': 160509668, 'id_str': '160509668', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter Web App,,
